brand,is_fictional,wikipedia_article,article_exists,total_views,avg_monthly,max_monthly,min_monthly,months
ASICS,False,ASICS,True,21511,1792.5833333333333,2191,1574,12
ASUS,False,Asus,True,446128,37177.333333333336,45768,33330,12
ASUS ROG,False,Republic_of_Gamers,True,7083,590.25,1128,267,12
Acer,False,Acer_Inc.,True,264520,22043.333333333332,24630,19186,12
Adidas,False,Adidas,True,1229940,102495.0,118291,88032,12
Amazon,False,Amazon_(company),True,3989628,332469.0,410834,283152,12
Anker,False,Anker_(company),True,109,9.083333333333334,12,4,12
Apple,False,Apple_Inc.,True,3884971,323747.5833333333,453733,246189,12
Audio-Technica,False,Audio-Technica,True,65716,5476.333333333333,6947,4546,12
Bang & Olufsen,False,Bang_%26_Olufsen,True,146610,12217.5,13740,10449,12
BenQ,False,BenQ,True,94736,7894.666666666667,13118,5917,12
Beyerdynamic,False,Beyerdynamic,True,30863,2571.9166666666665,3892,2090,12
BlendJet,False,,False,0,0,0,0,0
Bose,False,Bose_Corporation,True,344473,28706.083333333332,43787,23223,12
Bose SoundLink,False,,False,0,0,0,0,0
Bowers & Wilkins,False,Bowers_%26_Wilkins,True,91600,7633.333333333333,10388,6655,12
Breville,False,Breville,True,10909,909.0833333333334,2136,705,12
Brooks,False,Brooks_Sports,True,135968,11330.666666666666,14579,9031,12
Canon,False,Canon_Inc.,True,236764,19730.333333333332,22985,17527,12
Corsair,False,Corsair_Gaming,True,95478,7956.5,11105,6131,12
Coway,False,Coway_Co.,False,0,0,0,0,0
Cuisinart,False,Cuisinart,True,60904,5075.333333333333,10383,3888,12
De'Longhi,False,De%27Longhi,True,18435,1536.25,1795,1309,12
Dell,False,Dell,True,546678,45556.5,60513,37897,12
Deuter,False,Deuter_Sport,True,16010,1334.1666666666667,1564,1167,12
Dyson,False,Dyson_(company),True,403505,33625.416666666664,52755,26195,12
Ecovacs,False,Ecovacs,True,657,54.75,78,37,12
Fujifilm,False,Fujifilm,True,180077,15006.416666666666,17404,12895,12
Garmin,False,Garmin,True,384324,32027.0,37456,28460,12
Google,False,Google,True,16281635,1356802.9166666667,3828846,940184,12
Google Pixel,False,Pixel_(smartphone),True,7866,655.5,914,423,12
HP,False,HP_Inc.,True,433611,36134.25,40916,31476,12
Hoka,False,Hoka_(shoe_brand),False,0,0,0,0,0
JBL,False,JBL_(company),True,11472,956.0,1480,758,12
Jabra,False,Jabra,True,5732,477.6666666666667,655,369,12
Keychron,False,,False,0,0,0,0,0
KitchenAid,False,KitchenAid,True,103666,8638.833333333334,13186,6847,12
LG,False,LG_Electronics,True,317230,26435.833333333332,38222,22127,12
Lenovo,False,Lenovo,True,824139,68678.25,85270,59080,12
Levoit,False,,False,0,0,0,0,0
Linksys,False,Linksys,True,56188,4682.333333333333,6743,3961,12
Logitech,False,Logitech,True,264434,22036.166666666668,33111,17438,12
MSI,False,Micro-Star_International,True,210931,17577.583333333332,23383,14840,12
Marshall,False,Marshall_Amplification,True,166463,13871.916666666666,20547,11947,12
Motorola,False,Motorola,True,827086,68923.83333333333,79929,58594,12
NETGEAR,False,Netgear,True,81324,6777.0,10017,5516,12
Nespresso,False,Nespresso,True,213676,17806.333333333332,23453,13399,12
New Balance,False,New_Balance,True,513876,42823.0,63132,34646,12
Nike,False,"Nike,_Inc.",True,1471106,122592.16666666667,167359,97602,12
Nikon,False,Nikon,True,212929,17744.083333333332,20070,15458,12
Ninja,False,SharkNinja,True,318675,26556.25,32539,22531,12
Nothing,False,Nothing_(company),True,956905,79742.08333333333,99121,54596,12
OnePlus,False,OnePlus,True,633510,52792.5,59963,48645,12
Oral-B,False,Oral-B,True,88752,7396.0,13407,5528,12
Osprey,False,Osprey_Packs,True,51653,4304.416666666667,6258,3170,12
Panasonic,False,Panasonic,True,1099077,91589.75,112883,80361,12
Philips,False,Philips,True,751113,62592.75,71850,54672,12
Philips Sonicare,False,Philips_Sonicare,False,0,0,0,0,0
Razer,False,Razer_Inc.,True,169258,14104.833333333334,16759,11658,12
Realme,False,Realme,True,354515,29542.916666666668,37633,22402,12
Roborock,False,Roborock,True,106956,8913.0,12877,6485,12
Samsung,False,Samsung_Electronics,True,993729,82810.75,99612,67208,12
Saucony,False,Saucony,True,167643,13970.25,18196,11942,12
Sennheiser,False,Sennheiser,True,140630,11719.166666666666,20124,9450,12
Skullcandy,False,Skullcandy,True,81277,6773.083333333333,11364,5658,12
Sony,False,Sony,True,1272591,106049.25,158866,91145,12
Stanley,False,Stanley_(brand),False,0,0,0,0,0
SteelSeries,False,SteelSeries,True,57136,4761.333333333333,6342,4063,12
TP-Link,False,TP-Link,True,203583,16965.25,24327,14285,12
Technics,False,Technics_(brand),True,84798,7066.5,8847,5890,12
The North Face,False,The_North_Face,True,355530,29627.5,39171,24083,12
UE,False,Ultimate_Ears,True,26621,2218.4166666666665,2567,1872,12
ViewSonic,False,ViewSonic,True,52492,4374.333333333333,5534,3740,12
Vitamix,False,Vitamix,True,29005,2417.0833333333335,2844,1972,12
Winix,False,,False,0,0,0,0,0
Xiaomi,False,Xiaomi,True,997531,83127.58333333333,103455,60141,12
Yeti,False,Yeti_(company),True,358,29.833333333333332,56,6,12
iRobot,False,IRobot,True,146580,12215.0,38294,7615,12
Aeroflux,True,Aeroflux,False,0,0,0,0,0
Aquapure,True,Aquapure,True,1,1.0,1,1,1
Arcwave,True,Arcwave,False,0,0,0,0,0
Blendcore,True,Blendcore,False,0,0,0,0,0
Botiquo,True,Botiquo,False,0,0,0,0,0
Cleanwave,True,Cleanwave,False,0,0,0,0,0
Clearview,True,Clearview,True,2687,223.91666666666666,412,130,12
Clickstream,True,Clickstream,True,8179,681.5833333333334,1693,327,12
Crestline,True,Crestline,True,1394,116.16666666666667,159,79,12
Echosound,True,Echosound,False,0,0,0,0,0
Enduraclean,True,Enduraclean,False,0,0,0,0,0
Frostbyte,True,Frostbyte,False,0,0,0,0,0
Glideform,True,Glideform,False,0,0,0,0,0
Gridmaster,True,Gridmaster,False,0,0,0,0,0
Hydrocore,True,Hydrocore,False,0,0,0,0,0
Lumivox,True,Lumivox,False,0,0,0,0,0
Naviroam,True,Naviroam,False,0,0,0,0,0
Novatech,True,Novatech,True,20,1.8181818181818181,4,1,11
Peakstride,True,Peakstride,False,0,0,0,0,0
Pixelforge,True,Pixelforge,False,0,0,0,0,0
Presswell,True,Presswell,False,0,0,0,0,0
Purevolt,True,Purevolt,False,0,0,0,0,0
Signalmax,True,Signalmax,False,0,0,0,0,0
Snapfresh,True,Snapfresh,False,0,0,0,0,0
Sonaray,True,Sonaray,False,0,0,0,0,0
Sweepbot,True,Sweepbot,False,0,0,0,0,0
Terralink,True,Terralink,False,0,0,0,0,0
Trailwise,True,Trailwise,False,0,0,0,0,0
Vaultdrive,True,Vaultdrive,False,0,0,0,0,0
Veridian,True,Veridian,True,6815,567.9166666666666,1004,344,12
Wavecrest,True,Wavecrest,False,0,0,0,0,0
Zentria,True,Zentria,False,0,0,0,0,0
